narrative,body_part,work_activity,accident_cause,cluster,distance_to_centroid,rank_in_cluster
"Pursuant to a request from MSHA, we are submitting this first report of injury. The operator cannot determine when this alleged injury occurred so the date of accident and time are when it was reported to us. A temporary employee alleges that EE was exposed to carbon monoxide while working at the site. There is no evidence to support this claim.",No information available in narrative,No information available in narrative,No information available in narrative,4,1.166874,13
Incident date and time noted is when we were informed. The site cannot pinpoint an actual incident time or date. Employee informed our 3rd party triage company of a potential alleged CO overexposure. There was no report of an overexposure to Lafarge management. The operator disputes that an injury or illness occurred at the site.,No information available in narrative,No information available in narrative,No information available in narrative,4,1.177559679,14
IW and co-worker were returning from lunch and headed back to maintenance shop on the golfcart when the IW collapsed and became unresponsive.  The Co-worker called 911 and started CPR. The Co-worker was immediately assisted by other co-workers with first aid/CPR efforts until EMS arrived.  EMS arrived and transported IW to a Medical Center.,No information available in narrative,headed back to maintenance shop on the golfcart,No information available in narrative,4,1.19746773,15
"Employee and contractor were installing a bucket elevator when it came free. Employee was tossed to the side and the contractor had the bucket elevator collapse upon contractor. Employee was released from the hospital after a few hours, and the contractor was sent to a hospital in Albuquerque.",No information available in narrative,installing a bucket elevator,bucket elevator collapse upon contractor,4,1.198149178,16
"3rd party driver was delivering copper slag to the plant.  They had dumped a load of copper slag and was parked. Driver was standing near the rear of the truck and flagged down another driver for help complaining of chest pains. EMS was called, and driver was transported by emergency services to a local hospital where they passed away.",complaining of chest pains,driver was delivering copper slag to the plant,No information available in narrative,4,1.210530074,17
"A non-fatal accident occurred on October 10, 2022, at approximately 08:55. A customer truck was leaving the property when customer drifted off the paved road causing the dump truck to roll onto its passenger side. It took EMS greater than 30 minutes to remove the driver from the truck.",No information available in narrative,customer truck was leaving the property,drifted off the paved road causing the dump truck to roll onto its passenger side,4,1.219088729,18
EE was walking near the shop and felt dizzy/lightheaded then collapsed to the ground. Mayday was called and EE was given cool water and cold towels. EE was helped to a chair. EE was given IV fluids and transported to facility offsite. Diagnosed with Heat Exhaustion.,felt dizzy/lightheaded then collapsed to the ground,walking near the shop,Heat Exhaustion,4,1.238350094,19
"The sub-contractor was found unconscious in EE's vehicle by EE's co-worker. The car was locked, co-worker attempted to wake EE. Co-worker called 911, then got mine superintendent, who came to the scene, broke the window, removed EE from EE's car, and started CPR. EE was then pronounced deceased at the hospital.",No information available in narrative,No information available in narrative,No information available in narrative,4,1.24968507,20
"Employee was cutting cardboard on the floor with a utility knife in the maintenance garage.  Their left hand was holding the cardboard, and right hand was cutting.  The cardboard slid on the floor and the knife slipped lacerating their left wrist.",lacerating their left wrist,cutting cardboard on the floor with a utility knife,cardboard slid on the floor and the knife slipped,5,0.206073,11
"While cutting a storage sand bag downwards with a pocket knife in right hand, EE was holding bag and stretching with left hand. The knife became stuck and upon applying more pressure to cut, it became free and struck the left thumb cutting the tip and requiring stitches.   ",struck the left thumb cutting the tip and requiring stitches,cutting a storage sand bag downwards with a pocket knife,"knife became stuck and upon applying more pressure to cut, it became free and struck",5,0.207400234,12
"EE was cutting a piece of tubing on the #1 belt filter press. While cutting the tube, the blade was pinched and the tube twisted. The result was a kick back from the cutoff wheel and EE's finger was cut. EE was wearing the proper PPE, cut resistant impact gloves, face shield, etc. The blade cut through EE's glove.",finger was cut,cutting a piece of tubing on the #1 belt filter press,blade was pinched and the tube twisted. The result was a kick back from the cutoff wheel,5,0.207880711,13
"EMPLOYEE WAS CHANGING SCREEN'S IN MID'S REF, HAD TO CUT RUBBER ON SCREEN WITH RAZOR KNIFE. THE KNIFE SLIPPED AND CUT THE PALM OF EE'S HAND NEAR THE THUMB.",CUT THE PALM OF EE'S HAND NEAR THE THUMB,"CHANGING SCREEN'S IN MID'S REF, HAD TO CUT RUBBER ON SCREEN WITH RAZOR KNIFE",KNIFE SLIPPED,5,0.20917806,14
Injured worker was attempting to cut through a seam weld on existing geomembrane liner with a utility knife when the blade slipped loose from the liner and struck the top of the thumb on the opposite hand that was holding the knife. The hooked blade penetrated the worker's leather glove. Several sutures/stitches were required to close the wound.,struck the top of the thumb,attempting to cut through a seam weld on existing geomembrane liner with a utility knife,blade slipped loose from the liner,5,0.228890508,15
"While performing maintenance on the #5 finish mill discharge elevator, the employee used a safety utility knife to cut a rubber door seal. While cutting, the blade went through the rubber seal and through the leather glove EE was wearing. This caused a laceration to EE's left index finger.",laceration to EE's left index finger,employee used a safety utility knife to cut a rubber door seal,the blade went through the rubber seal and through the leather glove EE was wearing,5,0.240466718,16
"A SWI employee was working on the SWMFL pad, as the employee reached for the cutters in their pocket. The open pair of cutters penetrated through the employees leather gloves causing a small laceration to the palm of the right hand.",small laceration to the palm of the right hand,working on the SWMFL pad,reached for the cutters in their pocket. The open pair of cutters penetrated,5,0.243517052,17
Employee was doing a welding test for certification. Employee was cutting the test welds on test plate that was secured to table by c-clamps/ On the last tack the metabo they were using jumped back out of left hand and cut left 5th digit. Employee stopped and took off glove and saw the finger had been cut.,finger had been cut,welding test for certification. Employee was cutting the test welds on test plate,metabo they were using jumped back out of left hand,5,0.245454129,18
"Employee was cutting the old rubber endcaps off of the spray bars at the Wash Plant. While cutting one of them, the retractable-blade utility knife they were using slipped off the rubber and contacted their left inner thigh. This caused a laceration about 1 inch long and 1 inch deep. 3 Sutures required.",left inner thigh. This caused a laceration about 1 inch long and 1 inch deep. 3 Sutures required,cutting the old rubber endcaps off of the spray bars at the Wash Plant,retractable-blade utility knife they were using slipped off the rubber,5,0.261029648,19
Employee was holding a hose and working with another employee to remove a fitting which was taped to the hose.  The other employee was cutting the tape and hose when the knife slipped and struck the back of the employee's right middle finger causing a laceration.  The laceration required sutures to close.,right middle finger causing a laceration.  The laceration required sutures,remove a fitting which was taped to the hose,the knife slipped and struck,5,0.261158,20
"EE tripped over the pallet that EE was placing bags on, causing EE to fall and land on their right hand, dislocating the 5th middle phalanx.",dislocating the 5th middle phalanx,placing bags on,tripped over the pallet,6,0.238590095,11
"As the employee was completing EE's pre-operation inspection of 100 ton haul truck, EE tripped over EE's own feet in loose gravel at the Quarry parking lot. Employee was sore from left hip down to left calf.  ",left hip down to left calf,pre-operation inspection of 100 ton haul truck,tripped over EE's own feet in loose gravel,6,0.241326052,12
"The injured employee was walking down a catwalk at the feed station and slipped on some ice. As EE fell, EE grabbed the handrail, pulled EE's shoulder, and landed on EE's right knee and elbow.",pulled EE's shoulder,walking down a catwalk at the feed station,slipped on some ice,6,0.246708,13
EE was exiting the CV06 Conveyor tunnel and was walking towards the Limestone Dome when EE stepped on a patch of ice and slipped and fell on backside with right elbow striking the ground. Diagnosis: Contusion of right elbow; restricted duty authorized.,Contusion of right elbow,exiting the CV06 Conveyor tunnel and was walking towards the Limestone Dome,stepped on a patch of ice and slipped and fell on backside,6,0.249973493,14
"The employee stepped off of a ladder onto an uneven section of ground, causing EE to fall and land on elbow.  EE suffered a hairline crack in the ulna, which required a brace to be worn.  There were no restrictions as it did not affect EE's regular job.",hairline crack in the ulna,stepped off of a ladder,"stepped off of a ladder onto an uneven section of ground, causing EE to fall",6,0.250241654,15
"Employee was walking down a 6060 cat shovel with a small box. EE fell approximately 7 steps to the ground. This resulted in the employee sustaining some scratches to their stomach, knees, and face. Along with breaking their jaw.","scratches to their stomach, knees, and face. Along with breaking their jaw",walking down a 6060 cat shovel,No information available in narrative,6,0.251234533,16
"Stripping drip line off the slope. Drip line came loose employee lost balance, causing a sprain to the right ankle.",sprain to the right ankle,Stripping drip line off the slope,Drip line came loose employee lost balance,6,0.253722621,17
"While descending the steps from the top level of the plant, the Miner slipped with wet boots causing EE to hit head below EE's hardhat strap.  When EE reported the incident to the Foreman, EE became ill and vomited.  The supervisor called emergency services.",hit head,descending the steps from the top level of the plant,slipped with wet boots,6,0.254453135,18
EE slipped while descending stairs. Stairs were clean and dry. EE was not carrying anything. Handrail is in place and was used.,No information available in narrative,descending stairs,No information available in narrative,6,0.272472268,19
The employee was walking around the mag bin to get a roller when EE fell through the floor which had deteriorated to the ground about 15 feet. This resulted in a broken arm and a lost time injury.,broken arm,walking around the mag bin to get a roller,fell through the floor which had deteriorated,6,0.272932446,20
